,Terminal DateTime,TranType,From/To,Amt Req'd,Fee Req'd,Amt Disp.,Fee Amt.,Term  Seq.,Response,Issuer,Current Balance,Customer_id
19,02/05/21 14:24:33,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
20,02/19/21 15:47:14,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
21,03/09/21 03:27:33,W/D,DDA,$40,$3.00,$40,$3.00,2036.0,EMV,PLS,$0.00,8939855175874044750
22,03/09/21 11:42:35,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
23,03/17/21 12:40:24,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
24,03/21/21 10:48:23,W/D,DDA,$100,$3.00,$100,$3.00,2161.0,EMV,PUL,$0.00,76625979443362958
25,03/22/21 12:18:45,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
26,03/31/21 22:52:52,W/D,DDA,$40,$3.00,$40,$3.00,2237.0,Approved,CI0,$0.00,2538940131154302329
27,04/01/21 12:57:37,STL,ADD-CAS,$,$0.00,$,$0.00,,Approved,,$0.00,3617705962654528737
28,04/07/21 11:31:52,W/D,DDA,$20,$3.00,$20,$3.00,2307.0,EMV,SNE,$0.00,8001376322740549174
29,04/13/21 14:48:19,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
30,04/20/21 00:28:47,W/D,DDA,$40,$3.00,$40,$3.00,2470.0,EMV,MS0,$0.00,3187606172919100028
31,04/20/21 12:15:03,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
32,05/06/21 16:40:36,W/D,DDA,$120,$3.00,$120,$3.00,2594.0,EMV,PUL,$0.00,5487848186862550248
33,05/07/21 12:17:36,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
34,05/21/21 16:08:05,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
35,06/02/21 14:47:33,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
36,06/10/21 14:51:11,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
37,06/18/21 16:14:45,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
38,07/01/21 13:14:39,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
39,07/12/21 13:26:11,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
40,07/22/21 14:03:16,STL,ADD-CAS,$0,$0.00,$0,$0.00,,Approved,,$0.00,3617705962654528737
41,10/17/20 23:03:45,W/D,DDA,$60,$3.00,$60,$3.00,1145.0,EMV,SNE,"$1,000.00",111195409941140560
42,02/19/21 08:12:48,W/D,DDA,$140,$3.00,$140,$3.00,1950.0,Approved,PUL,"$1,000.00",2183744640601740186
43,03/16/21 17:29:03,W/D,DDA,$200,$3.00,$200,$3.00,2101.0,Approved,PUL,"$1,000.00",7003115162260689319
44,04/12/21 14:48:08,W/D,DDA,$120,$3.00,$120,$3.00,2379.0,EMV,PUL,"$1,000.00",7222018634603700266
45,04/19/21 03:40:29,W/D,DDA,$20,$3.00,$20,$3.00,2453.0,Approved,PUL,"$1,000.00",1524587012989452195
46,05/20/21 01:34:22,W/D,DDA,$200,$3.00,$200,$3.00,2704.0,EMV,EXC,"$1,000.00",8123745495266586146
47,05/20/21 01:37:00,INQ,DDA,$0,$0.00,$0,$0.00,2705.0,Approved,PUL,"$1,000.00",1567112952486542636
48,05/20/21 01:52:27,INQ,DDA,$0,$0.00,$0,$0.00,2706.0,Approved,PUL,"$1,000.00",5722670566505734932
49,05/20/21 01:53:33,INQ,DDA,$0,$0.00,$0,$0.00,2707.0,Approved,PUL,"$1,000.00",5722670566505734932
50,09/28/20 13:14:20,W/D,DDA,$200,$3.00,$200,$3.00,1032.0,EMV,PLS,"$1,020.00",4192974176217531904
51,09/29/20 08:07:23,INQ,DDA,$,$0.00,$,$0.00,1033.0,Approved,PLS,"$1,020.00",3281696992701896237
52,09/29/20 08:08:18,W/D,DDA,$200,$0.00,$,$0.00,1034.0,DO NOT H,PLS,"$1,020.00",3281696992701896237
53,09/29/20 08:10:01,W/D,DDA,$200,$0.00,$,$0.00,1035.0,DO NOT H,PLS,"$1,020.00",3281696992701896237
54,09/29/20 08:10:54,W/D,DDA,$180,$0.00,$,$0.00,1036.0,UNKNOWN,PLS,"$1,020.00",3281696992701896237
55,02/04/21 05:05:36,W/D,DDA,$100,$3.00,$100,$3.00,1847.0,Approved,MS0,"$1,020.00",581755734645814299
56,03/06/21 22:44:34,W/D,DDA,$20,$3.00,$20,$3.00,2023.0,EMV,MS0,"$1,020.00",8022741257523729779
57,03/07/21 16:10:39,W/D,DDA,$100,$0.00,$,$0.00,2024.0,DO NOT H,MS0,"$1,020.00",8022741257523729779
58,04/18/21 23:23:41,W/D,DDA,$60,$3.00,$60,$3.00,2450.0,EMV,PLS,"$1,020.00",4579326406506473293
59,04/19/21 02:44:01,W/D,DDA,$40,$0.00,$0,$0.00,2451.0,NSF,PUL,"$1,020.00",1549346141210991524
60,06/01/21 08:03:56,W/D,DDA,$180,$3.00,$180,$3.00,2792.0,Approved,WAE,"$1,020.00",126970581874606387
61,06/30/21 07:34:27,W/D,DDA,$40,$3.00,$40,$3.00,3061.0,EMV,PLS,"$1,020.00",8360334396356172003
62,08/26/20 02:23:59,W/D,DDA,$120,$3.00,$120,$3.00,876.0,Liable,MS0,"$1,040.00",901427616726749937
63,08/26/20 08:39:31,INQ,DDA,$,$0.00,$,$0.00,877.0,PIN RETR,MS0,"$1,040.00",4533538074638226837
64,11/26/20 13:22:47,W/D,DDA,$200,$3.00,$200,$3.00,1394.0,EMV,CI0,"$1,040.00",6151147783377518261
65,01/03/21 05:41:41,W/D,DDA,$80,$3.00,$80,$3.00,1624.0,EMV,PUL,"$1,040.00",8065590240330260039
66,01/03/21 11:13:54,INQ,DDA,$,$0.00,$,$0.00,1625.0,Approved,MS0,"$1,040.00",3782363577224914202
67,03/06/21 09:38:22,W/D,DDA,$200,$3.00,$200,$3.00,2022.0,EMV,PLS,"$1,040.00",5661006499193222728
68,06/18/21 02:14:31,W/D,DDA,$100,$3.00,$100,$3.00,2940.0,EMV,AFR,"$1,040.00",5950982256716409236
69,10/17/20 21:25:04,W/D,DDA,$40,$3.00,$40,$3.00,1144.0,EMV,PLS,"$1,060.00",3309841820828900521
70,11/05/20 14:35:57,W/D,DDA,$100,$3.00,$100,$3.00,1240.0,EMV,PLS,"$1,060.00",7708780688772653306
71,04/05/21 18:40:31,W/D,DDA,$200,$3.00,$200,$3.00,2290.0,EMV,PLS,"$1,060.00",3041864323038578142
72,06/29/21 16:27:39,W/D,DDA,$20,$3.00,$20,$3.00,3057.0,EMV,PUL,"$1,060.00",6752798469313544976
73,06/29/21 20:57:06,W/D,DDA,$20,$0.00,$0,$0.00,3058.0,NSF,MS0,"$1,060.00",7374644668529022449
74,06/29/21 20:57:54,INQ,DDA,$0,$0.00,$0,$0.00,3059.0,Approved,MS0,"$1,060.00",7374644668529022449
75,06/29/21 20:58:28,INQ,DDA,$0,$0.00,$0,$0.00,3060.0,Approved,MS0,"$1,060.00",7374644668529022449
76,11/16/20 14:24:23,W/D,SAV,$200,$3.00,$200,$3.00,1326.0,Approved,SNE,"$1,080.00",1079720515450814901
77,01/13/21 06:55:51,W/D,DDA,$180,$3.00,$180,$3.00,1697.0,EMV,SNE,"$1,080.00",6338287493228069881
78,01/13/21 13:36:23,INQ,DDA,$,$0.00,$,$0.00,1698.0,Approved,SNE,"$1,080.00",1151613909553500769
79,04/18/21 22:30:06,W/D,DDA,$200,$3.00,$200,$3.00,2449.0,Approved,CI0,"$1,080.00",8230213125278806409
80,06/09/21 18:58:29,W/D,DDA,$40,$3.00,$40,$3.00,2864.0,Approved,PLS,"$1,080.00",5024090642288317852
81,06/29/21 13:09:47,W/D,DDA,$20,$3.00,$20,$3.00,3054.0,EMV,PUL,"$1,080.00",1192438352815489335
82,06/29/21 13:50:08,INQ,SAV,$0,$0.00,$0,$0.00,3055.0,INCORREC,PUL,"$1,080.00",7847341689962515858
83,06/29/21 13:51:26,W/D,CRD,$40,$0.00,$0,$0.00,3056.0,NSF,PUL,"$1,080.00",7847341689962515858
84,09/09/20 08:45:19,W/D,DDA,$60,$3.00,$60,$3.00,939.0,Approved,PLS,"$1,100.00",4380468458668362960
85,10/17/20 12:26:37,W/D,DDA,$60,$3.00,$60,$3.00,1142.0,EMV,PLS,"$1,100.00",838626543130318130
86,10/17/20 14:20:45,INQ,DDA,$,$0.00,$,$0.00,1143.0,Approved,MS0,"$1,100.00",812740385977853916
87,03/20/21 05:00:33,W/D,DDA,$80,$3.00,$80,$3.00,2137.0,EMV,CI0,"$1,100.00",6384551715238220887
88,03/30/21 14:45:21,W/D,DDA,$40,$3.00,$40,$3.00,2229.0,EMV,PUL,"$1,100.00",3739054828288455233
89,06/29/21 07:16:32,W/D,DDA,$40,$3.00,$40,$3.00,3045.0,EMV,PLS,"$1,100.00",3286485570088730280
90,06/29/21 07:27:56,W/D,DDA,$200,$0.00,$0,$0.00,3048.0,DO NOT H,VNT,"$1,100.00",9000437538915743635
91,06/29/21 09:04:07,W/D,DDA,$200,$0.00,$0,$0.00,3051.0,DO NOT H,VNT,"$1,100.00",9000437538915743635
92,06/29/21 09:05:36,W/D,DDA,$200,$0.00,$0,$0.00,3052.0,DO NOT H,VNT,"$1,100.00",9000437538915743635
93,06/29/21 09:06:23,W/D,DDA,$200,$0.00,$0,$0.00,3053.0,DO NOT H,VNT,"$1,100.00",9000437538915743635
94,08/07/20 08:31:20,W/D,DDA,$160,$3.00,$160,$3.00,811.0,Liable,MS0,"$1,120.00",1513281023416590679
95,08/07/20 09:09:30,INQ,SAV,$,$0.00,$,$0.00,812.0,Approved,COE,"$1,120.00",2094170923122715994
96,01/02/21 13:13:18,W/D,DDA,$40,$3.00,$40,$3.00,1621.0,Approved,WAE,"$1,120.00",1530512927162793801
97,01/02/21 23:12:08,W/D,DDA,$200,$0.00,$,$0.00,1622.0,NSF,MS0,"$1,120.00",8120477730784561281
98,01/03/21 05:40:27,W/D,SAV,$100,$0.00,$,$0.00,1623.0,NSF,PUL,"$1,120.00",8065590240330260039
99,02/04/21 04:14:11,W/D,DDA,$160,$3.00,$160,$3.00,1846.0,Approved,MS0,"$1,120.00",8084481511091754086
100,04/12/21 10:38:17,W/D,DDA,$60,$3.00,$60,$3.00,2375.0,EMV,VNT,"$1,120.00",4293108493869776023
101,04/12/21 11:48:58,INQ,DDA,$0,$0.00,$0,$0.00,2376.0,Approved,VNT,"$1,120.00",4293108493869776023
102,04/12/21 11:49:35,W/D,DDA,$40,$0.00,$0,$0.00,2377.0,DO NOT H,VNT,"$1,120.00",4293108493869776023
103,04/12/21 11:50:05,INQ,DDA,$0,$0.00,$0,$0.00,2378.0,Approved,VNT,"$1,120.00",4293108493869776023
104,05/04/21 05:27:31,W/D,SAV,$200,$3.00,$200,$3.00,2575.0,Approved,EXC,"$1,120.00",2396166585892494866
105,06/09/21 13:21:44,W/D,DDA,$200,$3.00,$200,$3.00,2863.0,EMV,NYC,"$1,120.00",3653252062529824872
106,01/25/21 18:30:29,W/D,DDA,$200,$3.00,$200,$3.00,1766.0,Approved,MS0,"$1,140.00",6385056137317728325
107,01/25/21 21:42:49,INQ,DDA,$,$0.00,$,$0.00,1767.0,Approved,MS0,"$1,140.00",6385056137317728325
108,02/18/21 23:28:14,W/D,DDA,$60,$3.00,$60,$3.00,1945.0,EMV,PLS,"$1,140.00",4577857306904707355
109,02/19/21 08:05:46,INQ,DDA,$,$0.00,$,$0.00,1946.0,Approved,PUL,"$1,140.00",2183744640601740186
110,02/19/21 08:08:45,INQ,DDA,$,$0.00,$,$0.00,1947.0,Approved,PUL,"$1,140.00",2183744640601740186
111,02/19/21 08:10:51,W/D,DDA,$180,$0.00,$,$0.00,1948.0,NSF,PUL,"$1,140.00",2183744640601740186
112,02/19/21 08:11:41,W/D,DDA,$160,$0.00,$,$0.00,1949.0,NSF,PUL,"$1,140.00",2183744640601740186
113,03/30/21 12:28:05,W/D,DDA,$100,$3.00,$100,$3.00,2226.0,EMV,PUL,"$1,140.00",261720196173094598
114,03/30/21 14:43:37,W/D,DDA,$60,$0.00,$,$0.00,2227.0,NSF,PUL,"$1,140.00",3739054828288455233
115,03/30/21 14:44:41,W/D,DDA,$40,$0.00,$,$0.00,2228.0,SUSPECTE,PUL,"$1,140.00",3739054828288455233
116,06/18/21 02:11:14,W/D,DDA,$120,$3.00,$120,$3.00,2939.0,EMV,CI0,"$1,140.00",8099074365655043839
117,06/29/21 05:27:17,W/D,DDA,$200,$3.00,$200,$3.00,3043.0,Approved,PUL,"$1,140.00",3127251312372004081
118,07/09/21 08:36:02,W/D,DDA,$120,$3.00,$120,$3.00,3167.0,EMV,PLS,"$1,140.00",4356458381578913691
119,08/26/20 02:14:06,W/D,DDA,$200,$3.00,$200,$3.00,875.0,Liable,MS0,"$1,160.00",901427616726749937
120,09/08/20 23:46:41,W/D,SAV,$60,$3.00,$60,$3.00,938.0,Liable,NYC,"$1,160.00",2513386031222800809
121,10/17/20 10:03:53,W/D,DDA,$200,$3.00,$200,$3.00,1140.0,Approved,WAE,"$1,160.00",737562024305266167
122,10/17/20 12:22:38,W/D,DDA,$40,$0.00,$,$0.00,1141.0,NSF,PLS,"$1,160.00",838626543130318130
123,11/05/20 12:44:42,W/D,DDA,$100,$3.00,$100,$3.00,1239.0,Approved,WAE,"$1,160.00",7513026392521652242
124,01/02/21 12:27:56,W/D,DDA,$200,$3.00,$200,$3.00,1620.0,EMV,EXC,"$1,160.00",4046660026840697421
125,08/03/21 12:13:52,W/D,CRD,$200,$3.00,$200,$3.00,3393.0,EMV,MS0,"$1,160.00",8485294738444938534
126,07/09/20 20:23:09,W/D,DDA,$200,$3.00,$200,$3.00,627.0,Approved,PUL,"$1,180.00",315665911968831636
127,07/09/20 20:28:49,INQ,DDA,$,$0.00,$,$0.00,628.0,Approved,MS0,"$1,180.00",3468432462317786033
128,07/09/20 22:00:08,INQ,DDA,$,$0.00,$,$0.00,629.0,Approved,MS0,"$1,180.00",3468432462317786033
129,07/09/20 23:00:49,INQ,DDA,$,$0.00,$,$0.00,630.0,Approved,MS0,"$1,180.00",3468432462317786033
130,07/29/20 17:14:28,W/D,DDA,$20,$3.00,$20,$3.00,726.0,Liable,PLS,"$1,180.00",8050676693326043228
131,10/29/20 23:52:16,W/D,DDA,$40,$3.00,$40,$3.00,1207.0,Approved,PUL,"$1,180.00",8845275194565130112
132,12/06/20 12:23:17,W/D,DDA,$100,$3.00,$100,$3.00,1470.0,EMV,CI0,"$1,180.00",3551761104820572719
133,12/18/20 11:25:12,W/D,DDA,$100,$3.00,$100,$3.00,1544.0,Approved,PUL,"$1,180.00",945384404010707044
134,03/20/21 01:12:59,W/D,DDA,$80,$3.00,$80,$3.00,2136.0,EMV,PLS,"$1,180.00",3602970545956646767
135,04/12/21 10:37:27,W/D,DDA,$200,$3.00,$200,$3.00,2374.0,EMV,VNT,"$1,180.00",4293108493869776023
136,07/29/20 16:48:18,W/D,DDA,$120,$3.00,$120,$3.00,725.0,Approved,PUL,"$1,200.00",798098420534476961
137,02/18/21 16:53:46,W/D,SAV,$60,$3.00,$60,$3.00,1944.0,Approved,AFR,"$1,200.00",6590962976374303605
138,03/16/21 17:27:59,W/D,DDA,$200,$3.00,$200,$3.00,2100.0,Approved,PUL,"$1,200.00",7003115162260689319
139,05/19/21 21:18:54,W/D,DDA,$20,$3.00,$20,$3.00,2703.0,EMV,PLS,"$1,200.00",3198048075106216964
140,06/01/21 04:36:45,W/D,DDA,$200,$3.00,$200,$3.00,2791.0,EMV,MS0,"$1,200.00",1261681707745940989
141,09/08/20 03:42:55,W/D,DDA,$100,$3.00,$100,$3.00,937.0,Liable,STR,"$1,220.00",3334179286476126284
142,09/28/20 13:13:18,W/D,DDA,$200,$3.00,$200,$3.00,1031.0,EMV,PLS,"$1,220.00",4192974176217531904
143,10/29/20 21:35:49,W/D,DDA,$100,$3.00,$100,$3.00,1206.0,EMV,PLS,"$1,220.00",4257327019643331675
144,05/19/21 14:52:41,W/D,DDA,$60,$3.00,$60,$3.00,2701.0,EMV,EXC,"$1,220.00",3476874961973860158
145,05/19/21 17:19:38,W/D,DDA,$200,$0.00,$0,$0.00,2702.0,NSF,PUL,"$1,220.00",887705026522929453
146,11/26/20 07:06:48,W/D,DDA,$60,$3.00,$60,$3.00,1390.0,EMV,PLS,"$1,240.00",838626543130318130
147,11/26/20 11:41:03,INQ,CRD,$,$0.00,$,$0.00,1391.0,NOT PERM,STR,"$1,240.00",1359943021151333238
148,11/26/20 11:41:54,INQ,DDA,$,$0.00,$,$0.00,1392.0,Approved,STR,"$1,240.00",1359943021151333238
149,11/26/20 11:42:22,INQ,DDA,$,$0.00,$,$0.00,1393.0,STOLEN C,STR,"$1,240.00",7912935217968680351
150,03/04/21 20:06:44,W/D,DDA,$200,$3.00,$200,$3.00,2019.0,EMV,MS0,"$1,240.00",8100308057364958586
151,03/05/21 11:35:30,W/D,DDA,$200,$0.00,$,$0.00,2020.0,UNKNOWN,STR,"$1,240.00",6882147910516716023
152,03/06/21 09:37:06,INQ,DDA,$,$0.00,$,$0.00,2021.0,Approved,PLS,"$1,240.00",5661006499193222728
153,03/29/21 15:49:35,W/D,DDA,$200,$3.00,$200,$3.00,2224.0,EMV,PUL,"$1,240.00",4592880766075120679
154,03/30/21 11:27:18,INQ,DDA,$,$0.00,$,$0.00,2225.0,Approved,SNE,"$1,240.00",8409744075993462597
155,11/05/20 01:05:42,W/D,SAV,$200,$3.00,$200,$3.00,1238.0,EMV,STR,"$1,260.00",1920987510691156828
156,01/13/21 06:34:42,W/D,DDA,$200,$3.00,$200,$3.00,1696.0,EMV,PLS,"$1,260.00",1891175730100532516
157,02/18/21 10:23:46,W/D,DDA,$20,$3.00,$20,$3.00,1942.0,EMV,EXC,"$1,260.00",8969041162521799730
158,02/18/21 13:11:52,INQ,DDA,$,$0.00,$,$0.00,1943.0,Approved,PUL,"$1,260.00",5972608379040950543
159,03/20/21 00:18:40,W/D,DDA,$200,$3.00,$200,$3.00,2134.0,Approved,PUL,"$1,260.00",7003115162260689319
160,03/20/21 01:11:43,INQ,DDA,$,$0.00,$,$0.00,2135.0,Approved,PLS,"$1,260.00",3602970545956646767
161,04/05/21 18:39:37,W/D,DDA,$200,$3.00,$200,$3.00,2289.0,EMV,PLS,"$1,260.00",3041864323038578142
162,06/17/21 23:12:12,W/D,SAV,$40,$3.00,$40,$3.00,2938.0,EMV,PLS,"$1,260.00",7706010453630772287
163,07/09/21 03:02:07,W/D,DDA,$60,$3.00,$60,$3.00,3163.0,EMV,PUL,"$1,260.00",8191395176889637243
164,07/09/21 07:32:38,INQ,DDA,$0,$0.00,$0,$0.00,3164.0,Approved,PLS,"$1,260.00",4856485144390391538
165,07/09/21 08:34:58,INQ,DDA,$0,$0.00,$0,$0.00,3166.0,Approved,PLS,"$1,260.00",4356458381578913691
166,08/06/20 15:07:46,W/D,DDA,$100,$3.00,$100,$3.00,809.0,Liable,PLS,"$1,280.00",266959144381456145
167,08/07/20 08:22:02,INQ,DDA,$,$0.00,$,$0.00,810.0,Approved,MS0,"$1,280.00",1513281023416590679
168,11/16/20 14:23:38,W/D,SAV,$200,$3.00,$200,$3.00,1325.0,Approved,SNE,"$1,280.00",1079720515450814901
169,12/06/20 10:00:31,W/D,DDA,$200,$3.00,$200,$3.00,1469.0,EMV,PLS,"$1,280.00",1840979882855907973
170,12/17/20 23:49:30,W/D,DDA,$20,$3.00,$20,$3.00,1542.0,Approved,PUL,"$1,280.00",7178469277163133922
171,12/18/20 11:24:12,W/D,DDA,$140,$0.00,$,$0.00,1543.0,NSF,PUL,"$1,280.00",945384404010707044
172,02/04/21 04:13:14,W/D,DDA,$200,$3.00,$200,$3.00,1845.0,Approved,MS0,"$1,280.00",8084481511091754086
173,02/18/21 06:07:26,W/D,DDA,$80,$3.00,$80,$3.00,1940.0,Approved,PLS,"$1,280.00",3925819875448113495
174,02/18/21 10:22:07,INQ,DDA,$,$0.00,$,$0.00,1941.0,Approved,EXC,"$1,280.00",8969041162521799730
175,04/18/21 22:26:24,W/D,DDA,$100,$3.00,$100,$3.00,2448.0,Approved,CI0,"$1,280.00",8230213125278806409
176,05/19/21 10:02:49,W/D,DDA,$40,$3.00,$40,$3.00,2698.0,Approved,MS0,"$1,280.00",8202113621348022455
177,05/19/21 13:34:24,INQ,DDA,$0,$0.00,$0,$0.00,2699.0,INCORREC,SNE,"$1,280.00",707467677768887083
178,05/19/21 13:35:17,INQ,DDA,$0,$0.00,$0,$0.00,2700.0,INCORREC,SNE,"$1,280.00",707467677768887083
179,11/25/20 03:08:59,W/D,DDA,$40,$3.00,$40,$3.00,1387.0,EMV,PLS,"$1,300.00",6210672226341191894
180,11/25/20 11:44:01,INQ,DDA,$,$0.00,$,$0.00,1388.0,Approved,PLS,"$1,300.00",7969761445566189131
181,11/25/20 11:44:45,INQ,DDA,$,$0.00,$,$0.00,1389.0,Approved,PLS,"$1,300.00",7969761445566189131
182,12/17/20 20:45:32,W/D,DDA,$20,$3.00,$20,$3.00,1538.0,EMV,MS0,"$1,300.00",8134964530313524239
183,12/17/20 22:26:58,W/D,CRD,$100,$0.00,$,$0.00,1539.0,NSF,MS0,"$1,300.00",6804816624153168838
184,12/17/20 22:27:46,INQ,CRD,$,$0.00,$,$0.00,1540.0,Approved,MS0,"$1,300.00",6804816624153168838
185,12/17/20 22:28:31,W/D,CRD,$100,$0.00,$,$0.00,1541.0,NSF,MS0,"$1,300.00",6804816624153168838
186,06/17/21 20:12:43,W/D,SAV,$100,$3.00,$100,$3.00,2936.0,EMV,PLS,"$1,300.00",7706010453630772287
187,07/29/20 03:57:24,W/D,SAV,$100,$3.00,$100,$3.00,719.0,Approved,MS0,"$1,320.00",5160764800030931563
188,07/29/20 11:09:05,W/D,DDA,$60,$0.00,$,$0.00,720.0,NSF,VNT,"$1,320.00",3168474537521027407
189,07/29/20 11:09:52,INQ,DDA,$,$0.00,$,$0.00,721.0,Approved,VNT,"$1,320.00",3168474537521027407
190,07/29/20 11:11:24,W/D,DDA,$40,$0.00,$,$0.00,722.0,NSF,VNT,"$1,320.00",3168474537521027407
191,07/29/20 11:37:43,INQ,DDA,$,$0.00,$,$0.00,723.0,Approved,VNT,"$1,320.00",3168474537521027407
192,07/29/20 11:38:22,W/D,DDA,$40,$0.00,$,$0.00,724.0,NSF,VNT,"$1,320.00",3168474537521027407
193,09/07/20 05:48:01,W/D,DDA,$60,$3.00,$60,$3.00,936.0,Liable,MS0,"$1,320.00",7856642051491131699
194,10/29/20 01:56:09,W/D,DDA,$200,$3.00,$200,$3.00,1201.0,EMV,PLS,"$1,320.00",6291010468666977778
195,10/29/20 06:11:48,INQ,DDA,$,$0.00,$,$0.00,1202.0,Approved,STR,"$1,320.00",1024144443385327747
196,10/29/20 13:24:07,W/D,DDA,$80,$0.00,$,$0.00,1203.0,NSF,PLS,"$1,320.00",8253016930552629500
197,10/29/20 13:25:03,W/D,DDA,$60,$0.00,$,$0.00,1204.0,NSF,PLS,"$1,320.00",8253016930552629500
198,10/29/20 13:28:50,INQ,DDA,$,$0.00,$,$0.00,1205.0,Approved,PLS,"$1,320.00",8253016930552629500
199,12/17/20 20:25:00,W/D,DDA,$200,$3.00,$200,$3.00,1537.0,Approved,PUL,"$1,320.00",945384404010707044
200,05/04/21 05:26:45,W/D,SAV,$200,$3.00,$200,$3.00,2574.0,Approved,EXC,"$1,320.00",2396166585892494866
201,05/19/21 02:13:46,W/D,DDA,$100,$3.00,$100,$3.00,2696.0,EMV,AFD,"$1,320.00",8228046756758674286
202,05/19/21 10:01:32,INQ,DDA,$0,$0.00,$0,$0.00,2697.0,Approved,WAE,"$1,320.00",7410618749080797741
203,06/09/21 04:41:55,W/D,DDA,$180,$3.00,$180,$3.00,2862.0,Approved,PLS,"$1,320.00",4968065508133194789
204,07/09/21 03:00:38,W/D,DDA,$200,$3.00,$200,$3.00,3162.0,EMV,PUL,"$1,320.00",8191395176889637243
205,11/25/20 02:50:34,W/D,DDA,$200,$3.00,$200,$3.00,1386.0,EMV,CI0,"$1,340.00",7473260063324308147
206,01/24/21 21:38:37,W/D,DDA,$100,$3.00,$100,$3.00,1765.0,Approved,MS0,"$1,340.00",1131719608309112247
207,06/29/21 05:24:25,W/D,DDA,$200,$3.00,$200,$3.00,3041.0,Approved,PUL,"$1,340.00",3127251312372004081
208,06/29/21 05:26:17,INQ,DDA,$0,$0.00,$0,$0.00,3042.0,Approved,PUL,"$1,340.00",3127251312372004081
209,08/24/20 12:32:30,W/D,DDA,$40,$3.00,$40,$3.00,873.0,Liable,STR,"$1,360.00",6755096439198998646
210,08/26/20 02:13:14,INQ,DDA,$,$0.00,$,$0.00,874.0,Approved,MS0,"$1,360.00",901427616726749937
211,10/16/20 18:19:06,W/D,DDA,$20,$3.00,$20,$3.00,1138.0,Approved,PUL,"$1,360.00",1277509781005215475
